,Rating,Comments,overall,negative,neutral,positive,compound
219,★★,"Quite possibly Nolan's worst effort to date. An expository load of drivel that has the gumption to continually assault its audience with unnecessary information. If you don't get sick of characters explaining things that make no sense, you'll be bored senseless by the emotionally manipulative score and the ineptitude of the storytelling. ""Disastrous"" doesn't even begin to highlight the movie's lack of restraint.",2,0.195,0.738,0.067,-0.8645
220,★★★½,"I mean, it's good, but it's not Tenet-good.",3,0.0,0.755,0.245,0.2382
221,★★★★★,This is so precisely and desperately what I wanted the marriage of Kubrick and Spielberg to feel like,5,0.141,0.737,0.123,-0.0935
222,★★★★★,"also i had no idea matt damon was in this , why is he a constant jump scare",5,0.293,0.707,0.0,-0.6597
223,★★★★★,"words cannot describe how much i love this movie, the score, everything about it.",5,0.0,0.741,0.259,0.6369
224,★★★★½,a different experience for sure.,4,0.0,0.566,0.434,0.3182
225,★★★★★,that line where matthew mcconaughey says parents are just here to be memories for their children.... yea,5,0.0,1.0,0.0,0.0
226,★★★★★,we gotta stop sending matt damon into space,5,0.239,0.761,0.0,-0.296
227,★★★★★,2014 Films Ranked,5,0.0,1.0,0.0,0.0
228,★★★★,Alright Alright Alright,4,0.0,0.0,1.0,0.6124
229,★★★★★,Hans Zimmer's score is the greatest thing my ears have ever heard. I don't have much else to say except that I now realize this is a perfect film.,5,0.0,0.752,0.248,0.836
230,★★★★★,Christopher Nolan somehow made 2 masterpieces,5,0.0,0.533,0.467,0.5423
231,★★★★,"Love is quantifiable, whaddya know.",4,0.0,0.488,0.512,0.6369
232,½,ive never seen this movie but made out with one of the actors in it,0,0.0,1.0,0.0,0.0
233,★★★★★,"the movie returned to my local theaters and of course i had to go and cry for two hours long,, damn you christopher nolan",5,0.216,0.784,0.0,-0.7003
234,★★★★½,me: LOVE! IS! THE! ONE! THING! WE! ARE! CAPABLE! OF! PERCEIVING! THAT! TRANSCENDS! DIMENSIONS! OF! TIME! AND! SPACE!!!!!!,4,0.0,0.629,0.371,0.8869
235,★★★★★,"p.s. After 30 years, people will adore this movie. Students will see this movie in school or online class.",5,0.0,0.833,0.167,0.5574
236,★★★★½,back in 2014 none of us knew the reason Cooper was crying was that his son Timothee Chalamet grew up to be Casey Affleck,4,0.119,0.881,0.0,-0.4767
237,★★★★★,matt damon you dumb bitch,5,0.703,0.297,0.0,-0.7964
238,★★★★★,WHATEVER CAN HAPPEN WILL HAPPEN MOTHERFUCKERS,5,0.0,1.0,0.0,0.0
239,★★,Can I please have those three hours back now?,2,0.0,0.753,0.247,0.3182
240,★★★★★,"I feel like this is Nolan's most ambitious,accomplished and complex movie to date. Dealing with the theory of relativity,wormholes,time and space continuum and event horizons. Matthew McConaughey and Jessica Chastain were the stand outs among the cast,which had a lot more cameos than I was aware of. Can't forget Hans Zimmer's amazing score and Hoyt Van Hoytema's incredible cinematography.",5,0.0,0.869,0.131,0.7885
241,★★½,Disappointing review on its way...,2,0.444,0.556,0.0,-0.4939
242,★★★★★,"first of all, i'm sorry for only watching this now. second of all, WHAT THE FUCK!",5,0.294,0.706,0.0,-0.7027
243,★★★★★,also matt damon belongs in space,5,0.0,1.0,0.0,0.0
244,★★★★½,Nothing is more satisfying than seeing scenes that seemed completely insignificant being threaded (masterfully) into the larger narrative. I literally rewatched this two days in a row to experience it again. I love Nolan.,4,0.143,0.745,0.112,-0.049
245,★★★★★,God I hate myself for not being into movies back in 2014 and therefore probably watching horrible bosses 2 in the cinema instead of this masterpiece,5,0.211,0.585,0.204,-0.058
246,★★★★★,What happens when scientists bump up against things that defy easy characterization and analysis? Things like love? Humanity and the work that we do that we hand from one generation to the next in the hopes that we might survive and maybe even prosper. What it means to be human.,5,0.0,0.738,0.262,0.9429
247,★★★★★,ok so i watched this again just for that Movie Facts tweet about the 1.25 second ticks that happen on miller's planet representing a day on earth passing by and boy that was scary!,5,0.098,0.841,0.062,-0.3164
248,★★★★★,"We've always defined ourselves by the ability to overcome the impossible. And we count these moments. These moments when we dare to aim higher, to break barriers, to reach for the stars, to make the unknown known. We count these moments as our proudest achievements. But we lost all that. Or perhaps we've just forgotten that we are still pioneers. And we've barely begun. And that our greatest accomplishments cannot be behind us, because our destiny lies above us.",5,0.078,0.798,0.124,0.6369
249,★★,"The problem with this picture is when Americans think about they're apocalyptic future it's never believable. The power of any sci-fi picture is that at some point you believe, even if it's just for a moment, there is no point in Interstellar that this happens. This movie is just another family first, christian morality played out on a green screen. If it wasn't for the intoxicants and the special effects I would have walked out! Nolan has lost what little he ever had.",2,0.131,0.813,0.056,-0.7777
250,★★★★★,"Y, joder, a veces el granjero salva a la humanidad.",5,0.0,1.0,0.0,0.0
251,★★★★½,"Shut the fuck up , please shut the fuck up",4,0.458,0.392,0.15,-0.6908
252,★★½,5/10,2,0.0,1.0,0.0,0.0
253,★★★★½,"As expansive as it is intimate, Interstellar is an immersive, stirring, soulful, thematically ambitious odyssey with great performances, an impeccable production value and numerous sequences that have refused to leave my thoughts since first viewing.",4,0.079,0.698,0.223,0.802
254,★★★★★,"shattered. that was far, far better than i expected. best sci-fi film i've seen since 2001: a space odyssey, hands down.",5,0.118,0.611,0.271,0.6124
255,★½,"Will elaborate on later, but this is an incredibly stupid movie that thinks it's far smarter than is.",1,0.201,0.639,0.16,-0.2592
256,★★★★½,"One second watch, I have grown a much bigger appreciation for this film. While I still feel the film gets too heavy handed with the themes and ideas, this is a visual splendor filled with a fascinating journey. The characters are very compelling and the emotion is through the roof. This is a film I would not be surprised if I enjoy it more upon another rewatch. It is a film I highly recommend.",4,0.021,0.734,0.245,0.954
257,★★★★★,Watching this to pretend I don't have an exam tomorrow that I'm not prepared for. Didn't realise how much I loved it until now - it's going on the Favourites list!,5,0.095,0.775,0.13,0.4812
258,★★★★★,happy sixth birthday you beautiful film <3,5,0.0,0.276,0.724,0.8885
259,★★★★★,Interstellar is perfection,5,0.0,0.351,0.649,0.5719
260,★★★★★,no review i just love this movie so damn much,5,0.358,0.378,0.264,-0.1258
261,★★★★½,Definitely a must watch!,4,0.0,0.401,0.599,0.4574
262,★★★★½,", my eyes are full of tears.",4,0.275,0.725,0.0,-0.2263
263,★★★★★,UUUU,5,0.0,1.0,0.0,0.0
264,★★★★★,JES(U)S CHASTAIN; SAVIOUR OF THE WORLD,5,0.0,1.0,0.0,0.0
265,★★★★★,is it wrong that i still consider this vastly underrated? whenever people talk about it there is always some form of complaint for the love-solves-everything part and no one seems to appreciate how actually GOOD it is,5,0.167,0.691,0.141,-0.0431
266,★★★★★,every single hair on my head was just individually ripped out..... in all honesty i'm crying and my body is shaking,5,0.185,0.692,0.123,-0.1531
267,★★★,I cried when there was no more okra in the future.,3,0.375,0.625,0.0,-0.5859
268,★★★★★,"plsdjfksjkf i started rewatching this in the am but i only finished it now (10:49 PM) bc there were so many distractions adshjashjf mainly twitter, gossip girl, & zola hehehe",5,0.166,0.834,0.0,-0.6082
269,★★★★★,"this....was an absolute masterpiece. i have a headache because i cried probably four or five times, the score for this movie is quite literally breathtaking...everybody gave an amazing performance, the visuals of this movie are epic, i love this movie, i cannot wait to watch it again (hopefully with less of a headache from hysterically crying)...my absolute final verdict is: astronauts have the scariest fucking job, astronauts are so mf brave, i love astronauts, space is scary",5,0.065,0.694,0.241,0.95
270,★★★★★,if i had 1 buck for every tear i shed during this rewatch i would be a fucking billionaire,5,0.0,1.0,0.0,0.0
271,★★★★★,SPACE IS SO COOL!!!!,5,0.0,1.0,0.0,0.0
272,★★★½,"You know, one could say that Interstellar is quite, stellar.",3,0.0,1.0,0.0,0.0
273,★★★★★,I could make a joke about how everyone mumbles their lines and people somehow hear them from across the room but I think I will just say thank you Mr. Nolan for making a film that resonates with me so deeply,5,0.0,0.875,0.125,0.5927
274,★★★★★,this movie always breaks my heart,5,0.0,1.0,0.0,0.0
275,★★★★★,I love movies so much man,5,0.0,0.488,0.512,0.6369
276,★★★★★,Ranked at number 5 in my Pink Posters list,5,0.0,0.843,0.157,0.0772
277,★★★★★,"Shit doesn't get better than this. I've watched it like 4 times, never fails to make me cry.",5,0.351,0.463,0.186,-0.6456
278,★★★★★,"is an absolutely beautiful, magnificent, and emotional film. Just f***ing glorious, and honestly life changing. I don't care what anyone thinks, I'm a Nolan shill and you can't stop me. 10/10",5,0.06,0.504,0.436,0.9471
279,★★★★★,Love is the one thing that transcends time and space.,5,0.0,0.682,0.318,0.6369
280,★★★★★,best movie of all time period,5,0.0,0.543,0.457,0.6369
281,★★★★½,Interesting to see Timothee Chalamet turn in Casey Affleck. Matthew McConaughey and Anne Hathaway killed it with their roles and loved the robots in the film.,4,0.132,0.674,0.194,0.2732
282,★★★★★,The end of Earth does not mean the end of Humanity. Love transcends across all dimensions.,5,0.0,0.781,0.219,0.6369
283,★★★★★,Imagine watching this in theaters. I WISH,5,0.0,0.593,0.407,0.5319
284,★★★★★,Feel free to tell me yours?,5,0.0,0.602,0.398,0.5106
285,★★★★½,i dont know if i understand the movie more or is even more confused,4,0.191,0.809,0.0,-0.3804
286,★★★★,Such an optimistic portrayal of what robot/human romance could be like,4,0.0,0.488,0.512,0.8126
287,★★★★,nolan out here making me ugly cry,4,0.561,0.439,0.0,-0.7506
288,★★★★★,"awe. What a fucking movie. The visuals, the score, the fantastic performances from the lead cast and an incredible, touching storyline that never feels to stretched or boring. I am so glad I finally watched this because it is spectacular and I am in love with everything about it. It was so captivating and beautiful to watch.",5,0.035,0.732,0.233,0.932
289,★★★★★,Science is so fucking sexy.,5,0.0,0.502,0.498,0.6087
290,★★★★★,Perfection!,5,0.0,0.0,1.0,0.6114
291,★★★★½,"was all about is what makes the movie. Just go see it. Even if you don't love it as much as I do, I can guarantee you'll find it incredibly interesting. Because it is.",4,0.09,0.776,0.134,0.1593
292,★★★★½,"Yes, it's repetitive and sentimental. Yes, I don't care. It's also ambitious, bold and thrilling.",4,0.171,0.221,0.608,0.8973
293,★★★★★,This happened to my buddy Cooper.,5,0.0,1.0,0.0,0.0
294,★★★★★,"Atemberaubend. Von Anfang bis Ende, Atemberaubend.",5,0.0,1.0,0.0,0.0
295,★★★★★,currently shaking my ass to s.t.a.y by hans zimmer,5,0.426,0.574,0.0,-0.6369
296,★★★★★,And who said Christopher Nolan was an emotionless director? This movie is nolans most emotional movie. The movie is also full of amazing special effects probably some of the best I seen in any movie and I think that matthew mcconaughey give an amazing preformance possibly his best ever. I am also just in love with the world which Nolan built in this movie.,5,0.0,0.685,0.315,0.9771
297,★★★★½,"Mi sa che lo staff del cinema ha preso troppo sul serio il film... in sala si gelava, boh forse mi volevano ibernare e sono il prescelto per salvare il mondo. Probabile.",4,0.0,0.926,0.074,0.34
298,★★★★★,There is a moment,5,0.0,1.0,0.0,0.0
299,★★★★★,fuck i dont know why but i cant stop crying,5,0.174,0.387,0.439,0.5288
300,★★½,"Clunky as all hell, but it sure does have a whole bunch of space, space ships, space suits, and robots. Its ambition and scope is also felt, perhaps even so effectively as to be largely numbing, though it did manage to get me in the gut with its unrelenting and utterly cosmic sentimentality once or twice. Saw it on 35mm at the Hollywood Theatre in Portland.",2,0.071,0.782,0.147,0.7801
301,½,Whereby famed astrophysicist Christopher Nolan asserts Leonard Susskind is wrong about everything. Worst movie I've seen this year.,0,0.31,0.69,0.0,-0.802
302,★★★★★,Space is truly horrifying,5,0.43,0.233,0.337,-0.2023
303,★★★½,reelrundown.com/movies/Ranking-Christopher-Nolans-Film-1-10,3,0.0,1.0,0.0,0.0
304,★★★★,I'm definitely scare of that water planet. I can't swim.,4,0.248,0.543,0.209,-0.128
305,★★★★½,God how do you even quantify this film?,4,0.0,0.769,0.231,0.2732
306,★★★★½,"Christopher Nolan's finest film I think, tied with The Dark Knight.",4,0.0,1.0,0.0,0.0
307,★★★★½,however it's been 2 days and i still haven't decided on a rating. i wanna just give it 5 stars but i gotta admit the part near the ending got quite abstract and confusing to me which made me connect with it a little bit less,4,0.065,0.882,0.052,-0.1395
308,★★★★½,"shit my pants, then went back in time using gravity to shit my pants again",4,0.356,0.644,0.0,-0.802
309,★★★★★,"You ever just, binge a directors work just because a trailer came out? Of course!",5,0.0,1.0,0.0,0.0
310,★★★★★,"is now one of my favorite movies and that's what i hoped to get from Mr. Nolan. The direction, the script, the cinematography, the performances, everything is totally flawless and left me speechless.",5,0.0,0.759,0.241,0.8479
311,★★★★★,that shit is breathtaking bro,5,0.375,0.312,0.312,-0.1531
312,★★★★½,jessica chastain really is out there saving the world,4,0.0,1.0,0.0,0.0
313,★★★★★,this happens when an ambitious project is executed in perfection and awe. holy mother of christ.,5,0.0,0.673,0.327,0.7783
314,★★★★½,"If you don't care about that part of it, you won't like it, no matter how much cool shit you see.",4,0.291,0.524,0.185,-0.6187
315,★★★★★,"I think what's being lost in all the discussion of the science, narrative and sheer spectacle of this film is the downright fantastic performance from Matthew McConaughey. I feel like he's every bit as good here as in Dallas Buyers Club.",5,0.05,0.756,0.194,0.7717
316,★★★★★,"Straight to my number one film of this amazing, brilliant year.",5,0.0,0.378,0.622,0.8885
317,★★★★½,'s greatest films in terms of abstract concepts of space and time. What is even more impressive is that many of the concepts used by Nolan are deemed possible by science and research. A great plot full of twists and a must watch!,4,0.0,0.757,0.243,0.9214
318,★★★★½,"One of my top five favorite iMax experiences. Simply stunning. Also, a lot of overly self-serious film critics hated it and that really butters my beans.",4,0.189,0.592,0.219,0.0
319,★★★★★,matt damon more like matt demon,5,0.0,0.642,0.358,0.4201
320,★★★★★,Shout-out young Timothee.,5,0.0,1.0,0.0,0.0
321,★★★★★,"Mr Nolan your a fucking genius, who has reinvented every genre you've ever put your hand too...And that's all I have to say about that.",5,0.0,0.873,0.127,0.4939
322,★★★★★,Still absolutely phenomenal.,5,0.0,1.0,0.0,0.0
323,★★★★½,what a downgrade,4,0.0,1.0,0.0,0.0
324,★★★★★,Nolan Ranked,5,0.0,1.0,0.0,0.0
325,★★★★½,how dare this movie make me cry about matthew mcconaughey,4,0.256,0.744,0.0,-0.4767
326,★★★★★,5/5 3rd viewing,5,0.0,1.0,0.0,0.0
