,Comments
306,Why does Nolan like the name Cobb so much?
307,youtu.be/PA-gumlqqy8
308,Must See For Cinephiles!
309,Top: Christopher Nolan
310,"Not a horrible movie to be honest. It's just a bit choppy with the acting and editing. But other than that, I really enjoyed this movie. Great concept and execution, but doesn't really have much to say."
311,"Honestly, I think this is one of his more impressive movies, and the fact that this was his debut is completely mind-boggling to me. There were many instances where the film could have taken a completely new direction, or an extra hour could have been added without any struggle. However, I am really glad that this film turned out the way it did."
312,Nolan Ranked
313,I assume this is true for all writers that they're constantly following people around to avoid writing. Would explain why it's taking George R. R. Martin nearly a decade to write The Winds of Winter.
314,Pretty amazing how far a budget can stretch when the story is well told!
315,4. A thief named Cobb
316,"nice to see the dna of nolans later films here. clearly his weakest, but only because of the budget. the only problem which the budget cant explain is the ending which was kinda ridiculous. overall tho this was a nice lil banger"
317,"Somehow watching this film managed to be more boring than just flat out doing nothing during lockdown, which I suppose, in a strange way, is an accomplishment. Props, Chris. Truly."
318,"This is a fantastically written, boldly directed crime thriller that simultaneously functions as a character study. The black and white complements beautifully."
319,"It's got solid performances and a good score, but it seems to meander and lose the intrigue it's premise offers."
320,Definitely not quite as good as Nolan's current films but traces of each of his current films can be found here and it's really fascinating to see where he started.
321,"following es la prueba de que si tenes talento, no hay presupuesto ni traba que te frene de hacer un excelente trabajo. btw, nolan sabe perfectamente como terminar peliculas."
322,"Although it definitely comes across as a first feature, Nolan knows his limitations far better than most indie filmmakers do."
323,Film sederhana tentang nguntit orang yang seru dan mengejutkan.
324,Ooooooooooooooo!!
325,Pretty underwhelming idk what I was expecting.
326,"I know this says 1998, but it wasn't released until April 1999. Still counts. Anyway, very solid debut from Christopher Nolan. He clearly shot on a limited budget, but the film actually looks (and sounds) pretty fantastic. It's moody and stylish, but doesn't feel overly self-conscious or precious (impressive for a neo-noir). The narrative twists and turns are maybe a little clumsy, but still clever. It maybe would have been interesting to see what Nolan would have done with an additional 20-25 minutes."
327,"Nolan's first feature is amateurish yet fascinating. There's something so pure about the little neo-noirs that directors make so early in there careers, when they are young and pretentious but captivated by how people interact with eachother in dire situations. Alex Haw's performance is a bit too much, and the dialogue is hit-and-miss, but this is still dark and brooding and fun."
328,YouTube
329,moral of the story? trust nobody not even yourself
330,blah
331,"""Everyone's got a box."""
332,"For a no-budget debut feature, Following is pretty effective, and contains shades of several of Nolan's earlier movies, especially Memento. You can definitely tell it's a no-budget debut, but it's written well, shot as best as could be with only the use of available light, and has a certain charm to it overall."
333,-
334,jokes aside this is a really solid micro budget debut. It showcased a few ideas Nolan expanded on and used much better in later films. The leap in quality from this film to Memento is actually fucking insane and I respect that a lot.
335,Following is the first film of the man who will personify 21st century film-making at it's finest.
336,"I'm very glad I finally got around to seeing this first film from Christopher Nolan. It shows some peaks into the style of story preferences of some of his later films. This is a much smaller movie, a little more like Memento than any of his other works and has a feel of a Hitchcock thriller. I like that this seems to play off of normal human behaviors of people who feel secluded in crowded places. This reminds me of a less fucked up Man Bites Dog."
337,So on my plane from Los Angeles to London all I did was watch this and Twin Peaks and it's safe to say I'm having an existential crisis.
338,"Now that I've gone through all of Christopher Nolan's filmography, I'm probably going to revisit most of his films in the coming weeks, many of which I haven't seen in a few years. Will be interesting to see how they hold up, especially considering that I experienced them right at the start of my film obsession."
339,"is an impressive feature length debut, especially considering its small budget. 70/100"
340,", the magic of successful micro-budget filmmaking hits a soft spot for me, excusing what would otherwise be bigger flaws. But even then, this film's smart, efficient screenplay makes for a great debut."
341,"Misleading title tho, not about the following part at all..."
342,"""Mediocre. I don't know if this Nolan guy's got what it takes to make it big."" - Me in 1998, when I reviewed movies for the newspaper, smoked cigars, and was 1 year old."
343,"In a sense, this is the most inspirational movie ever made. Because if a filmmaker who would go on to make some of the most iconic films of the 21st century, got started with this pretentious, insipid, muddled mess of a movie, then anything's possible."
344,"This had some good direction I noticed, and was interesting at times but then faded back into a slightly controlled mess."
345,"Tense, nonlinear, and intriguing. Nolan becoming Nolan."
346,"Following is very Hitchcockian in that it thrives off long sequences of interesting character interactions, and snappy dialogue. There isn't a whole lot going on, but it's a good character piece and has the level of intricacy that Nolan is quite good at."
347,"Brief, thrilling, and intricate without being over-the-top or unrealistic, but it was completely unnecessary to tell the story out of order, it made it a tiny bit hard to follow."
348,Claire's Film Log: 2015
349,Throughout history will show the real intent of this person and how the follower was involved in a well-designed plan that lets you confused and lost.
350,"What a wild film debut, and I'm not even particularly fond of (or soured towards) Nolan. Turning literally every weakness of no-budget film making into this film's strength Following really nails the Noir genre in a brisk but highly effective way."
351,"This short feature showcases the early potential of a rising director, but is not a great film. The non-linear plot is twisty but the characters are flat; half the blame for that falls on the short runtime, and most of the other half on the acting. ""Following"" may have been a practice run for Nolan's next film ""Memento"", but aspiring filmmakers should give it a watch because he proves that an ambitious story can be told with relatively little money."
352,Would later go in to perfect this with Memento only two years later.
353,The ending is a little out there but still a fun way to go. It's a short movie so it doesn't really drag that much although it is quite slow at times.
354,"A clever, engrossing and enormously well-shot psychological drama/thriller. While not one of the best of Nolan's films, it's still entertaining."
355,"Nolan's stylistic (non-linear narrative, handheld camera, neo-noir darkness) and thematic (obsession, criminality, identity) preferences are already present in this commendable debut."
356,"Proof that you don't need a budget to make a great film, just talent and a great story."
357,Good directorial debut from our good friend Chris Nolan.
358,The noir blueprints for Memento.
359,"It's an interesting little amateur piece with a good story at its heart, but the generally poor performances and some weak dialogue make it rather difficult to enjoy. It's a shame really, had it been handled just a little more professionally it might have made a very strong debut."
360,"The ending made me happy, it made me smile"
361,Demonstrates signs of Nolan's greatest strengths and his greatest weaknesses. Overall pretty fun I guess.
362,Nice Batman easter egg.
363,Last 10 mins changed my opinion about this movie. It was definitely a decent watch. Didn't see that twist coming. Nicely put out. And the screenplay confused me little bit.
364,This movie is about the greatest reverse uno card play of all time
365,This is soooo different from Christopher Nolan's other movies and I love how different it is and how much Nolan's style has changed over the years.
366,A SOLID MOVIE. REALLY IMPRESSIVE DIRECTING DEBUT WITH SUCH A LOW BUDGET
367,Happy Nolan filmography completion to me.
368,"Commentary by Christopher Nolan. Always love to see how directors do so much with little budget, especially now that Nolan is at the level that he's reached."
369,"i've my personal box too, so i'm gonna check it out rn lolll!"
370,"Not too bad for Nolan's first. It felt like a watered-down version of Memento, which coincidentally enough would be his next film so I can see where the inspiration came from. I'm just more impressed that he used a Bolex camera for this film, I am using one in my film class right now and jesus I have so much more respect for Nolan now cuz that camera is DOGshit."
371,"This first outing as a feature film director shows just how early on, in his career, Nolan experimented with narrative structure and time as an essentiel part of his stories. It's a low budget thriller but the thought behind the story and plot is well crafted and so this seemingly unsure directorial debut actually ends up underlining just how sharp and brilliant a storyteller Nolan was even at an early age. Of course it has none of the spectacle or visual splendor of his later work but at the core it is unmistakably Nolanesque and definetely worth checking out."
372,"This feels so much like a student film. Overall it was kinda meh, but it has some really great dialogue and one KILLER opening."
