,Rating,Comments
310,½,Whereby famed astrophysicist Christopher Nolan asserts Leonard Susskind is wrong about everything. Worst movie I've seen this year.
311,★★★★★,Space is truly horrifying
312,★★★½,reelrundown.com/movies/Ranking-Christopher-Nolans-Film-1-10
313,★★★★,I'm definitely scare of that water planet. I can't swim.
314,★★★★½,God how do you even quantify this film?
315,★★★★½,"Christopher Nolan's finest film I think, tied with The Dark Knight."
316,★★★★½,however it's been 2 days and i still haven't decided on a rating. i wanna just give it 5 stars but i gotta admit the part near the ending got quite abstract and confusing to me which made me connect with it a little bit less
317,★★★★½,"shit my pants, then went back in time using gravity to shit my pants again"
318,★★★★★,"You ever just, binge a directors work just because a trailer came out? Of course!"
319,★★★★★,"is now one of my favorite movies and that's what i hoped to get from Mr. Nolan. The direction, the script, the cinematography, the performances, everything is totally flawless and left me speechless."
320,★★★★★,that shit is breathtaking bro
321,★★★★½,jessica chastain really is out there saving the world
322,★★★★★,this happens when an ambitious project is executed in perfection and awe. holy mother of christ.
323,★★★★½,"If you don't care about that part of it, you won't like it, no matter how much cool shit you see."
324,★★★★★,"I think what's being lost in all the discussion of the science, narrative and sheer spectacle of this film is the downright fantastic performance from Matthew McConaughey. I feel like he's every bit as good here as in Dallas Buyers Club."
325,★★★★★,"Straight to my number one film of this amazing, brilliant year."
326,★★★★½,'s greatest films in terms of abstract concepts of space and time. What is even more impressive is that many of the concepts used by Nolan are deemed possible by science and research. A great plot full of twists and a must watch!
327,★★★★½,"One of my top five favorite iMax experiences. Simply stunning. Also, a lot of overly self-serious film critics hated it and that really butters my beans."
328,★★★★★,matt damon more like matt demon
329,★★★★★,Shout-out young Timothee.
330,★★★★★,"Mr Nolan your a fucking genius, who has reinvented every genre you've ever put your hand too...And that's all I have to say about that."
331,★★★★★,Still absolutely phenomenal.
332,★★★★½,what a downgrade
333,★★★★★,Nolan Ranked
334,★★★★½,how dare this movie make me cry about matthew mcconaughey
335,★★★★★,5/5 3rd viewing
