,Rating,Comments
340,★★★★★,not to be dramatic but i hope every person who worked in this movie appreciates the fact that they witnessed one of the best actors doing one of the most legendary performances in movie history
341,★★★★★,... And so on.
342,★★★★★,"is the best superhero movie ever made thanks in part to an iconic performance by Heath Ledger and a shockingly range-y performance by Aaron Eckhart -- two actors who many were NOT initially excited to see selected for their respective roles (me included). The film also manages to strike the perfect balance between real-world grittiness and comic book fun which was a notable flaw in its predecessor. While this film does so many things right, it's Ledger's Joker who absolutely dominates this film with all of his odd ticks, memorable lines and nefarious activities and is THE reason to watch this movie."
343,★★★★★,"The perfect superhero movie. If you disagree, I'll fight you"
344,★★★★★,"My word where do i start...this movie is just tip of the very top in my book...Nolan has to be one of cinema's best directors of all time, the man hasnt made a bad film in my opinion and with The Dark Knight he has created a movie so flawless ...for me the perfect movie. A true masterpiece."
345,★★★★★,batman is such husband material
346,★★★★★,The only bad thing was the Rachel recast
347,★★★★½,"currently on a batman binge for a vid, I'd never seen this before. only seen batman begins and dark knight rises, but ye this was decent!"
348,★★★★★,remains as one of the best super-hero movies ever.
349,★★★★★,9.8/10
350,★★★★,also why does this movie feel like it goes on forever??
351,★★★★★,Also me: Hasn't watched it in four years
352,★★★★★,how foolish of me
353,★★★★★,This film is a masterpiece and anyone who says otherwise is just plain wrong (just kidding-subjectivity is fun and totally cool!). Rewatched this film tonight and I still love it. Hard to believe that this film turns 10 in July.
354,★★★★★,"heath ledger put his entire soul into this role and played it like his life depended on it, truly the most deserved oscar win."
355,★★★★½,"the film bros were right. everything about this was GREAT, plus it created like 12 memes???"
356,★★★★★,line in this film and it would be iconic
357,★★★½,"""WHY ARENT WE TALKING ABOUT IT"" guy on the ferry is the greatest villain of them all, just an absolute dog shit actor. There's way too many moments of a character saying something that's just there for a stupid audience exposition dump - there's just a huge quality drop in the script between films. This joker deserved a better story."
358,★★★★½,HEATH LEDGER WAS INSANELY GREAATTTTT!!!
359,★★★★★,"no questions asked as to why creed, dwight and kevin chose THIS iconic joker for halloween circa 2008"
360,★★★★★,"Happy Birthday Christopher Nolan! Thank you for all the incredible films you've done, many of which I owe great credit to in helping solidified me as the avid cinema fan I am today, including this masterpiece that I still very much consider to be far and away the crowing achievement of the comic book genre. Here's hoping I'll get to experience Tenet in a theater pretty soon (America, please let's all get our shit together)."
361,★★★★★,Christian Bale is the definitive FILM Batman and Bruce Wayne.
362,★★★★★,kinda scary how i can recite half of this movie by heart
363,★★★★★,RIP Heath Ledger. You went out with an incredible film for the ages!
364,½,Haha made you look. This is a 5-star movie.
365,★★★★★,But it certainly is the best.
366,★★★★★,"This is one of my top 3 best movies of EVER MADE. It is an absolute masterpiece!!! I can't even begin to describe how well written the script is made. The acting of the entire cast is just phenomenal. The ending, Batman, The Dark Knight, did what the the citizens of the city needed. BRAVO Christopher Edward Nolan, BRAVO!!!"
367,★★★★½,"heath ledger wasn't the joker we deserved, but the joker we needed."
368,★★★★★,this has the best opening scene of all time!!! every other film has been shaking since 2008
369,★★★★★,fat ass crush on christian bale
370,★★★★★,Heath never ceases to amaze me every time I watch this (which is a LOT)
371,★★★★★,never not fun to scream WHERE IS SHE WHERE'S RACHEL when you can't find your friend Rachel
372,★,"Ok, but the contrast between how radically this film changed what the Joker character could be and how effectively this whole trilogy pulverized any possibility that Bruce Wayne could be a character with iconographic depth is staggering. Heath Ledger's performance literally grants this film all of its color, its intrigue, and its humanity."
373,★★★★★,2008 Films Ranked
374,★★★,"it's good... it's no ""Suicide Squad,"" but it's good."
375,★★★★★,"Even 10 years after release, even as the superhero genre has continuously evolved since that release, ""The Dark Knight"" still holds its place as the crowning achievement of this genre. And frankly, I won't at all be surprised if it forever holds that honor."
376,★★,"I'm not trying to be contrarian here, or drop a hyperbolic statement. I just find TDK to be one of the more overrated films in recent times. The editing, dialogue.....it's so clunky."
377,★★★★½,We've had a lot of them these past 2 decades but this is still the best comic book movie of the 21st century.
378,★★★★★,(The dark night!)
379,★★★★★,96/100
380,★★★★,CHANGE MY MIND
381,★★★★★,good.
382,★★★½,(Also 200th film on my diary)
383,★★★★½,"This was, is and will always be Christopher Nolan's greatest achievement of his career."
384,★★★★★,Best movie ever
385,★★★★½,'s Performance as Joker is GOAT.
386,Watched by,mank is in this
387,★★★★★,"every year i watch TDK probably 2-3 times and just yearn for my brother to somehow turn into a jonathan nolan level talented writer, so we can just swoop in and take over the game when the nolan bros retire"
388,★★★★★,9.6/10
389,★★★★½,"The last time I reviewed this, a potential predator and pedophile ravaged the comment section. So."
390,★★★,"It's good, but like... Batman is a shit tier superhero"
391,★★★★½,literally speechless
