,Rating,Comments
270,★★★★,"It has an unusual plot, but somehow it all comes together remarkably well. I truly felt evangel with the dreamy and curious structure. A solid low budget picture that displays plenty of strong future promise."
271,★★★½,A good movie that is overshadowed only because he perfects this craft later on in his career.
272,★★★★,MAKE A COBB ORIGIN STORY CHRISTOPHER KINO NOLAN
273,★★★★,"Concise and smart. Christopher Nolan has a very idiosyncratic way of directing, and you can tell what kind of filmmaker he would become from just this film."
274,★★★★,Wow. Chris Nolan's first movie and it's got all the Nolan twists and turns that I've come to know and love.
275,★★★★,"Quite possibly my favorite Nolan film. This film speaks of vision over just about everything, the black and white, use of natural lighting, non-linear progressive plot. With just a tight low budget, Nolan really had to meticulously harness his craft to allow his story to be the told way he intended. Haw is charming yet dark, and Theobald plays perfect as Cobb's counterpart. This film just speaks volumes as Nolan from a directing standpoint. Following laid the groundwork for Nolan's storytelling and shows he's capable of more than just big budgets and sets."
276,★★★★,The following is my explanation.
277,★★★★,"Happy 51st birthday to director who give us 11 greatest film in the world, Christopher Edward Nolan."
278,★★★½,"This movie was as disturbingly beautiful as it was filled with the explanations of human nature, deceit, distrust, betrayal, and blackmail. It was altogether really good in a cynical way, doing an incredible job capturing the reason for why some people do what they do. The soundtrack is creepy which I love since it adds foreboding to the scenes, and the way the timeline works is interesting in a very good way."
279,★★½,such a film bro flick lol
280,★★★,It's confirmed... Nolan's taste in music never changed. And he seems to like the name Cobb.
281,★★★½,"if i had a nickel for every time christopher nolan made a fun to watch but very confusing film with a main character whos a kind of thief/burglar named cobb i would have two nickels, which isn't a lot, but it's weird that it happened twice."
282,★★★★,Loved the black&white style of this movie and the cinematography from the classic Christopher Nolan.
283,★★★½,"The female then convinces the Protagonist to get the photos to ensure her safety, which he then tries to do."
284,★★★½,I swear those two male leads looks the same. I was confused for the first half of the film lol
285,★★,"Some of the dialogues and character interactions felt not that realistic to me and it has all that Nolan crap that I simply do not enjoy. But yeah, If you are a person who enjoyed most of his work, I'll predict that you'll like it as well."
286,★★★★,Rewatched with Nolan commentary
287,★★★★,First rule of Follow Club is don't talk about Follow Club
288,★★★★,Christopher Nolan Films Ranking
289,★★★,"Is the acting a bit all over the place, or am I way to high to process what I just watched?"
290,★★★,"next which, in my opinion, is his masterpiece."
291,★★★½,wp.me/pat7iE-2mw
292,★★,"Basically these aged like bagged milk, for me at least, and I do understand why people like this stuff so more power to you man."
293,★★★,(2000). I said what I said.
294,★★★½,Very simple but also extremely thrilling and intriguing.
295,★★★½,prequel!
296,★★★½,But! The story was compelling. And the mystery element of it was well executed.
297,★★★½,"Very much feels like 'My first film', with some clunky dialogue and stiff performances along the way. But the way the wheels spin in this shoestring noir is still quite impressive, and it is fun to see the origin point of some of Nolan's on-going tropes (Femme Fatale!! Ambient Soundscape! Men in Suits!). It's a brief, but satisfying exercise."
298,Watched by,Memento?
299,★★★★½,"Author's Note: Spoil Tenet for me and I will block you, no questions asked."
300,★★½,Sinon vous avez vu le trailer de The Batman ???
301,★★★,"Another example of a Nolan protagonist setting up a ""system"", a method of ordering the world, which then becomes inverted against them. The game of 'harmless stalking' becomes complicated once they are actually interacted with, attempts to know people from the outside thwarted. A quick and interesting lo-fi narrative experiment, albeit a little stilted and constrained (as youd expect with a debut film). Nolan going on to make far more ambitious and refined films, but interesting to see how some of his ideas existed from the start."
302,★★★,could run
303,★★★,"Overall, I did not hate this, but Compared to Inception, the Dark Knight trilogy, and Dunkirk, this is a weaker movie."
304,★★★½,B+
305,★★★½,Although it's short it's a well thought out and atmospheric neo-noir movie. Hard to believe it's Nolan
306,★★★,79
307,★★★,"Fun fact: Christopher Nolan never studied film-making at university, he studied English Literature at University College London"
308,★★★,Greatness from small beginnings
309,★★★,Why does Nolan like the name Cobb so much?
310,★★★½,youtu.be/PA-gumlqqy8
311,★★★½,Must See For Cinephiles!
312,★★★½,Top: Christopher Nolan
313,★★★,"Not a horrible movie to be honest. It's just a bit choppy with the acting and editing. But other than that, I really enjoyed this movie. Great concept and execution, but doesn't really have much to say."
314,★★★½,"Honestly, I think this is one of his more impressive movies, and the fact that this was his debut is completely mind-boggling to me. There were many instances where the film could have taken a completely new direction, or an extra hour could have been added without any struggle. However, I am really glad that this film turned out the way it did."
315,★★★★,Nolan Ranked
316,★★★½,I assume this is true for all writers that they're constantly following people around to avoid writing. Would explain why it's taking George R. R. Martin nearly a decade to write The Winds of Winter.
317,★★★★,Pretty amazing how far a budget can stretch when the story is well told!
318,★★★★,4. A thief named Cobb
319,★★★★,"nice to see the dna of nolans later films here. clearly his weakest, but only because of the budget. the only problem which the budget cant explain is the ending which was kinda ridiculous. overall tho this was a nice lil banger"
320,★★★,"Somehow watching this film managed to be more boring than just flat out doing nothing during lockdown, which I suppose, in a strange way, is an accomplishment. Props, Chris. Truly."
321,Rewatched by,"This is a fantastically written, boldly directed crime thriller that simultaneously functions as a character study. The black and white complements beautifully."
322,★★★,"It's got solid performances and a good score, but it seems to meander and lose the intrigue it's premise offers."
323,★★★,Definitely not quite as good as Nolan's current films but traces of each of his current films can be found here and it's really fascinating to see where he started.
324,★★★★½,"following es la prueba de que si tenes talento, no hay presupuesto ni traba que te frene de hacer un excelente trabajo. btw, nolan sabe perfectamente como terminar peliculas."
325,★★½,"Although it definitely comes across as a first feature, Nolan knows his limitations far better than most indie filmmakers do."
326,★★★½,Film sederhana tentang nguntit orang yang seru dan mengejutkan.
327,★★★,Ooooooooooooooo!!
328,★★,Pretty underwhelming idk what I was expecting.
329,★★★½,"I know this says 1998, but it wasn't released until April 1999. Still counts. Anyway, very solid debut from Christopher Nolan. He clearly shot on a limited budget, but the film actually looks (and sounds) pretty fantastic. It's moody and stylish, but doesn't feel overly self-conscious or precious (impressive for a neo-noir). The narrative twists and turns are maybe a little clumsy, but still clever. It maybe would have been interesting to see what Nolan would have done with an additional 20-25 minutes."
330,★★★,"It may be rather scant on character and a little too bare in the pacing department, but with an intriguing premise and some impressive visuals for a shoe-string budget, ""Following"" represents a relatively understandable foot in the door project for Christopher Nolan."
331,★★★,"Nolan's first feature is amateurish yet fascinating. There's something so pure about the little neo-noirs that directors make so early in there careers, when they are young and pretentious but captivated by how people interact with eachother in dire situations. Alex Haw's performance is a bit too much, and the dialogue is hit-and-miss, but this is still dark and brooding and fun."
332,★★★★,YouTube
333,★★★½,moral of the story? trust nobody not even yourself
334,★★½,blah
335,★★★★½,"""Everyone's got a box."""
336,★★★½,"For a no-budget debut feature, Following is pretty effective, and contains shades of several of Nolan's earlier movies, especially Memento. You can definitely tell it's a no-budget debut, but it's written well, shot as best as could be with only the use of available light, and has a certain charm to it overall."
337,Added by,-
338,Watched by,jokes aside this is a really solid micro budget debut. It showcased a few ideas Nolan expanded on and used much better in later films. The leap in quality from this film to Memento is actually fucking insane and I respect that a lot.
339,★★★½,Following is the first film of the man who will personify 21st century film-making at it's finest.
340,★★★★,So on my plane from Los Angeles to London all I did was watch this and Twin Peaks and it's safe to say I'm having an existential crisis.
341,★★★,"Now that I've gone through all of Christopher Nolan's filmography, I'm probably going to revisit most of his films in the coming weeks, many of which I haven't seen in a few years. Will be interesting to see how they hold up, especially considering that I experienced them right at the start of my film obsession."
342,★★★,"is an impressive feature length debut, especially considering its small budget. 70/100"
343,★★★★,", the magic of successful micro-budget filmmaking hits a soft spot for me, excusing what would otherwise be bigger flaws. But even then, this film's smart, efficient screenplay makes for a great debut."
344,★★½,"A decent effort to start a marvelous career. Short watch. Would recommend if you are a fan of Nolan's work, and you're a completionist, but nothing special."
345,★★★★★,"Misleading title tho, not about the following part at all..."
346,★★½,"""Mediocre. I don't know if this Nolan guy's got what it takes to make it big."" - Me in 1998, when I reviewed movies for the newspaper, smoked cigars, and was 1 year old."
347,★,"In a sense, this is the most inspirational movie ever made. Because if a filmmaker who would go on to make some of the most iconic films of the 21st century, got started with this pretentious, insipid, muddled mess of a movie, then anything's possible."
348,★★½,"This had some good direction I noticed, and was interesting at times but then faded back into a slightly controlled mess."
349,★★★★★,"Tense, nonlinear, and intriguing. Nolan becoming Nolan."
350,★★★½,"Following is very Hitchcockian in that it thrives off long sequences of interesting character interactions, and snappy dialogue. There isn't a whole lot going on, but it's a good character piece and has the level of intricacy that Nolan is quite good at."
351,★★★½,"Brief, thrilling, and intricate without being over-the-top or unrealistic, but it was completely unnecessary to tell the story out of order, it made it a tiny bit hard to follow."
352,★★½,Claire's Film Log: 2015
353,★★★,Throughout history will show the real intent of this person and how the follower was involved in a well-designed plan that lets you confused and lost.
354,★★★★,"What a wild film debut, and I'm not even particularly fond of (or soured towards) Nolan. Turning literally every weakness of no-budget film making into this film's strength Following really nails the Noir genre in a brisk but highly effective way."
355,★★½,"This short feature showcases the early potential of a rising director, but is not a great film. The non-linear plot is twisty but the characters are flat; half the blame for that falls on the short runtime, and most of the other half on the acting. ""Following"" may have been a practice run for Nolan's next film ""Memento"", but aspiring filmmakers should give it a watch because he proves that an ambitious story can be told with relatively little money."
356,★★★½,Would later go in to perfect this with Memento only two years later.
357,★★★½,The ending is a little out there but still a fun way to go. It's a short movie so it doesn't really drag that much although it is quite slow at times.
358,★★★★,"A clever, engrossing and enormously well-shot psychological drama/thriller. While not one of the best of Nolan's films, it's still entertaining."
359,★★★★,"Nolan's stylistic (non-linear narrative, handheld camera, neo-noir darkness) and thematic (obsession, criminality, identity) preferences are already present in this commendable debut."
360,★★★½,"Proof that you don't need a budget to make a great film, just talent and a great story."
361,★★★★,Good directorial debut from our good friend Chris Nolan.
362,★★★½,The noir blueprints for Memento.
363,★★½,"It's an interesting little amateur piece with a good story at its heart, but the generally poor performances and some weak dialogue make it rather difficult to enjoy. It's a shame really, had it been handled just a little more professionally it might have made a very strong debut."
364,★★★½,"The ending made me happy, it made me smile"
365,★★½,Demonstrates signs of Nolan's greatest strengths and his greatest weaknesses. Overall pretty fun I guess.
366,★★★★,Nice Batman easter egg.
367,★★★,Last 10 mins changed my opinion about this movie. It was definitely a decent watch. Didn't see that twist coming. Nicely put out. And the screenplay confused me little bit.
368,Rewatched by,Selected 30 Short Story collection
369,★★★½,Geleneksel nolan maratonu
370,★★★★,Nolan wasn't only fucking with the timeline but also the duality of characters huh
371,★★★,"This isn't exactly Christopher Nolan's best film, but this film did give birth to one of the greatest filmmakers of all time."
372,★★★½,Happy Nolan filmography completion to me.
373,★★★★,"Commentary by Christopher Nolan. Always love to see how directors do so much with little budget, especially now that Nolan is at the level that he's reached."
374,★★★★,"i've my personal box too, so i'm gonna check it out rn lolll!"
375,★★★,"Not too bad for Nolan's first. It felt like a watered-down version of Memento, which coincidentally enough would be his next film so I can see where the inspiration came from. I'm just more impressed that he used a Bolex camera for this film, I am using one in my film class right now and jesus I have so much more respect for Nolan now cuz that camera is DOGshit."
376,★★★,"This first outing as a feature film director shows just how early on, in his career, Nolan experimented with narrative structure and time as an essentiel part of his stories. It's a low budget thriller but the thought behind the story and plot is well crafted and so this seemingly unsure directorial debut actually ends up underlining just how sharp and brilliant a storyteller Nolan was even at an early age. Of course it has none of the spectacle or visual splendor of his later work but at the core it is unmistakably Nolanesque and definetely worth checking out."
377,★★★½,"This feels so much like a student film. Overall it was kinda meh, but it has some really great dialogue and one KILLER opening."
378,★★★½,https://youtu.be/HkHRYT1pjCQ
379,★★★★,"*this guy is good, he should direct more movies*"
380,★★½,Nolan was right to go back and just make an entire new Cobb.
381,★★★½,Way better than I expected.
382,★★★,"I am not a massive fan of Nolan, he has made some good movies but I just feel that he is quite overrated. Either way I still enjoyed this movie with it's interesting story, good directing and pretty basic acting."
383,★★★★,Overall: 8/10
384,★★★½,"Great puzzle-box mystery. Not so great characters or pacing. But the cinematography, score, imagery, parrarellism,and unique storytelling continue to prove that Nolan is a cut above the rest, even at his weakest."
385,★★★½,Portrait of a Nolan as a Young Man
386,★★★½,Nolan actually makes the most satisfying plots. You always feel great when the end of a Nolan movie connects all the dots. A bit short tho.
387,★★★,Nolan being Nolan. I felt like this movie could've gone deeper but for a low buget first feature it's solid.
388,★★½,Definitely some following in this for sure
389,★★★★,"My only complaint is the dialogue, which at times feels contrived and somewhat forced. But otherwise a thoroughly enjoyable film! Fiendishly clever, as one of the reviews says, and an exceptional debut."
390,★,IFC / DCP
391,★★,This is some student film shit.
392,★★★★½,"Crisp and cool, like a damn cranberry Sprite!"
393,★½,It was just extremely boring and had a story that I never wanted to be a part of. For the low budget the cinematography was quite good but that was pretty much the only thing I liked.
394,★,Unless I really hate insomnia this is easily the worst nolan film
395,★★½,Hahahahahahaha this movie is so dumb hahahaha I like it but man this movie is annoying and the dialogue is so bad hahahaha
396,★★★½,Nolan really be like all plot no characters
397,★★★★,Back when Nolan used to focus on the characters and not making a super confusing plot
398,★★★★,"The worst Nolan movie, wich makes it the 11th greatest movie of all time."
399,★★★★,"I really liked it! The story was so suspense and clever, and well captured by the cinematographer and portrayed by the actors. It's interesting to see Christopher Nolan play with non-linear storyline structure even in his first firm, as he truly as perfected it throughout his years. The plot kept me guessing on what was about to happen and definitely caught me by surprise a few times with its twists and turns."
400,★★★,"in some scenes. What? Nice debut, Nolan."
401,★★★½,7.5/10
402,★★★½,There's nothing more satisfying than all the pieces falling into place at the film's climax.
403,★★★★,Not to be annoying movie guy but this nolan flick pretty good
404,Watched by,"""How can I explain? Your eyes pass over the crowd, and if you let them settle on a person, then that person becomes an individual."""
405,★★★½,Still an absolute amazing film and I definitely recommend it!
406,★★★,Insomnia
407,★★★,Following review
408,★★★★,"I think the twists at the end come a bit much too fast and seem overwhelming, but it's a good movie."
409,★★★½,"Didn't expect this film get into Criterion Collection, This is where Nolan starts many good films"
410,★★★★½,I enjoyed it! It was really fun
411,★★★,Nolan characters swearing? Literally made me spit my tea.
412,★★★½,(Criterion release looks great)
413,★★★,Nolan ranked
414,★★★,I guess this was Nolan's practice to give us the great movie that is Memento.
415,★★★,nolan made about how artsy is the act of sniffing underwear.
416,★★★,6/10
417,★★★,The Christopher Nolan template is born!
418,★★★,Following is relatively straightforward but its well put together for a tiny budget film. It was fun going back to see how it all began for Nolan.
419,★★½,Perfectly fine but that was a long hour
420,★★★½,films :)
421,★★★★,"a few times and it continues to be one of the strong examples of what insane restrictions, a shoestring budget and a singular voice behind the camera can produce. It's not perfect, but it is an excellent showcase of the early signs of Christopher Nolan's talent that would later be perfected."
422,★★★½,Nolan Awards Nominations: 0
423,★★★★½,"I now have full faith in Tenet. In terms of debut movies this stacks up as one of the most impressive I've seen, capturing the trademark twists and turns of a Nolan movie with the same efficacy as his later blockbuster movies, with only a $6,000 budget. You would think that a first time director would confuse his audience by playing with non-linear timelines but here its tightly written, fresh and original. This is a cool glimpse into where Nolan got started and its also interesting to see him do a smaller scale movie, both in story and in budget."
424,★★★★½,I must be a real sucker for debut films or something but this was seriously great
425,★★★,.
426,★★★,"I mean it's aight, just nothing really special, that's all. For a first film tho, I'd say its pretty good!"
427,★★★★½,Must watch.
428,★★★★,"A low budget first feature film, shouted in 16mm but with a strong script and development. We can already see much of what Nolan will become in this story fill of twists, where the information is revealed in interesting time jumps back and forth."
429,★½,"don't think this ""Nolan"" guy is going anywhere anytime soon"
430,★★★,"almost every director you know and love today made a three-star debut feature where they're completely restricted by the tiny budget but still manage to demonstrate more than enough promise, utilising a number of techniques and filmmaking flair you can recognise in their subsequent work and christopher nolan is no different"
431,★★★½,Hausbesuche abzustatten.
432,★★★½,"I honestly wasn't expecting much from Nolan's first film. Usually, like Bong's Barking Dog, it takes a bit for a director to find its flare. However, this proves just how good Nolan is from his first scene. Following is able to create a very intriguing story with really not a ton going on, and some really solid performances that honestly felt a bit like Memento Lite. There are a lot of technical issues, which is to be expected, but overall the story was really fun for such a short movie."
433,★★★½,"budget (friends & family appear as actors and their homes are used as key locations). Non-linear structure, cross-cutting, inserts, the rug-pulling, it's all here. Favorite nugget from the commentary is Chris and Emma spending ""several nights"" crumpling up hundreds of photocopies of paper currency so they looked like real bills."
434,★★★½,So the main character is a writer who follows people to get inspiration for his writing. Are we sure this film isn't autobiographical for Nolan?
435,★★★★,Pretty good debut for Chris Nolan
436,★★½,"Some nice ideas in Nolan's feature debut, but this is largely 'first-film' affair, a dodgy script and some suspect acting"
437,★★½,Bro the only people who make good films anymore are Nolan and Fincher
438,★★★½,7/10
