,Rating,Comments
343,★★★★★,WHAT THE FUCK?!?!?!?!!??
344,★★★★½,9.7/10.
345,★★★★,"This time I noticed like no other how often and how early different characters are essentially SHOUTING the twist at each other. People who guessed it in advance just listened better, but it doesn't make the movie ""bad"" -- it actually has characters literally speak to each other about how the world is simple and horrible and twists make things seem possible again for a moment until you ruin it."
346,★★★★★,"films are a 5/5 for me, but this one gets a 6/5."
347,★★★★,This movie stole my wig and all of my top hats
348,★★★★★,ABRACADABRA IM ON THE FLOOR
349,★★★,isn't scarlet just amazing?
350,★★★★½,"Rewatching this movie makes it better than it already was. Compared to other Nolan movies *cough* Inception *cough* you can admire every single twist, turn and detail that leads to the movie's climax."
351,★★★★,"my dad is drafting an angry letter to christopher nolan right now yelling at him for making tesla seem like a ""quack"""
352,★★★★★,hugh jackman can eat me alive. just fucking kill me.
353,★★★★★,Best super hero movie ever.
354,★★★★½,"Christian Bale, Hugh Jackman & Michael Caine gives excellent performances in this awesome Christopher Nolan movie with a surprising twist at the end!"
355,★★★★,"Watching the film this time, it was incredible to see how the pieces fit so well together: the art direction, the cinematography, the acting, the direction, the music, the brilliant non-linear script. The film is amazing on all accounts and that the magic here is essentially a metaphor for film itself makes the payoff even better as the twists are revealed at the end. The film's human themes are strong too, transcending the subject of magic and becoming something ubiquitous and somewhat scary."
356,★★★★½,Watched on Movies Anywhere.
357,★★★★½,Jackman!
358,★★★★★,"I'm genuinely speechless, what a masterpiece. I'm definitely going to be watching more Nolan films."
359,★★★★★,"And that, is the real prestige."
360,★★★★★,"Honestly, the plot has the stomach-churning, the bottom falls out your heart with dread effect of Oldboy"
361,★★★★★,Mind definitely blown. I wanna rewatch right now and pick up on everything I missed.
362,★★★★★,well... fuck
363,★★★★★,"just the fact that someone out there had the thought to make a movie this expertly and near impeccably crafted.. wow, i am at a loss for words. the prestige is the embodiment of genius and masterful film-making. as simple as that."
364,★★★★★,Discussed on Episode 34 of the Feelin' Film Podcast
365,★★★★★,I'm speechless.
366,★★★★★,best movie ever i think
367,★★★★½,Christopher Nolan Ranked
368,★★★★★,"Fellas is it gay to become bitter rivals who constantly one up each other through betrayal, sacrifice and obsession in pursuit of becoming the best magician the world has ever seen???"
369,Watched by,did they explore each other bodies
370,★★★★,BATMAN vs WOLVERINE > BATMAN vs SUPERMAN
371,★★★★,"Perhaps Nolan's most precise and calculated effort. Subsequently, the big reveals grow more unsettling the longer you dwell on them."
372,★★★★½,9/10
373,★★★★★,This is just genius filmmaking. Nolan's best.
374,Rewatched by,this is the only movie ever made where I don't remember anything and also remember everything
375,★★★★½,"Basic premise of the film- two grown men steal each others diaries, get jealous and start a prank war. And man was it entertaining."
376,★★★★,One of the better Nolan films
377,★★★★★,i aint ever seen 2 pretty twins...nvm that dont sound right
378,★★★★★,this movie is truly the most amazing movie i have ever seen and i will never get tired of it. ever. i love it more than i love myself
379,★★★★½,the prestige is to the illusionist what old dogs is to wild hogs
380,★★★★½,"fooled myself by thinking that i was, indeed, watching closely"
381,★★★★½,"An underrated Nolan movie. People mention Interstellar, The Dark Knight, Inception when they talk about their favorite Nolan movie, but they don't often mention The Prestige. The Prestige is actually a competently made movie. The twists are really great and it just so fun to rewatch it because you can see all the twists coming. Jackman and Bale are amazing as two really ambitious magicians."
382,★★★★½,Easily Nolan's best. Full of his most colourful and fully realised characters and truly kaleidoscopic in a way a film about magic should be.
383,★★★★★,"In my case, I was not watching it closely enough hahaha."
384,★★★★,christopher nolan how about you make a movie i can understand for a fucking change?
385,★★★★,Nolan really thought he was slick putting a beard and chubby cheeks on Christian Bale and thinking nobody would notice huh
386,★★★★,"""Abracadabra"""
387,★★★★★,magic is terrifying
388,★★,enough.
389,★★★★,"A great meditation on magic and obsession, even if I've seen it too many times to be shocked anymore. Supremely well done and slightly out of character for Nolan."
390,★★★★,This movie is truly magical. Every re-watch adds more to the story and empowers it.
391,★★★★½,4/5
392,Watched by,"My expectations were high, but damn..."
393,★★★,christopher nolan never fails to make me have literally no idea what's going on in any of his movies
