,Rating,Comments
305,★★★★★,Nolan really snapped with these cast choices huh
306,★★★★★,its literally as good as the first time maybe even better CHRISTOPHER NOLAN I LOVE YOU
307,★★★★★,Kenneth Branagh: This is a gays only event! Go home!
308,★★★★★,"I searched for ""intensity"" in the dictionary and found the poster of Dunkirk (2017)"
309,★★★★½,is the movie that makes me afraid to go back in the water...
310,★★★★,Rating: 4/5
311,★★★★★,"Full review on Episode 231, coming soon."
312,★★★★★,Panic Attack! At The Imax
313,★★★★★,there are white men EVERYWHERE
314,★★★★½,Easily the most underrated Christopher Nolan movie and some of his best work.
315,★★★★,HARRY STYLES
316,★★★★★,READ THE FULL REVIEW AT INDIEWIRE
317,★★★,Felt like a big budget documentary dramatization on the concept that war is in fact still a really bad time.
318,★★★,The score was so damn loud and aggressive that I felt as if Hans Zimmer was bashing my skull with a hammer for two hours straight
319,★★★★½,"IM THE ONLY ONE IN THE CINEMA THAT SHOUTED 'YOU'RE DOING AMAZING TOM HARDY"" BECAUSE THAT MAN DESERVE OSCAR BY HIS EYES ACTING"
320,★★★,could not tell who is who the entire movie because they literally all looked the same
321,★★,Y'all are just thirsty for Harry Styles. He's just one of countless twink bitches in this. What's the big deal?
322,★★★★,This is how my grandparents described how they got to school.
323,★★★★½,is a masterful experience.
324,★★★★★,"You can't spell ""hope"" without most of the letters in ""home"""
325,★★★★★,noooo cillian don't be scared you're so sexy
326,★★★★½,<9.1/10>
327,★★★★★,Getting to know when Nolan will announce plans for his next film.
328,★★★½,this was like a two hour long panic attack christopher why
329,★★★★★,The 4D experience of everyone drowning and me choking on Diet Coke
330,★★★½,"Short and sweet, seems like a different turn for Nolan but a highly realistic true story that holds the viewers attention right up until the last shot."
331,★★★★,heroes of Dunkirk are the people who watched it without subtitles
332,★★★★,War is ugly. Humanity is beautiful. Dunkirk shows both on epic proportions. This is probably one of the better war films in recent years and it does deserve the hype.
333,★★★★½,"can't say anything that hasn't been said already, but this is near flawless. so transcendently fluent, and so fantastic."
334,★★★★,whenever i lost harry styles in the sea of white men i just looked for the widest forehead. worked every time
335,★★★★,*
336,★★★★½,"Ok I was already pretty sure of this, but this 2nd viewing reassured me that this film far and away marks the best IMAX experience I've ever had. And yes I saw Gravity in IMAX too."
337,★★★★★,"Just when I thought the Apes would wind up winning the summer, in comes Christopher Nolan to snatch the shit away! An absolute pleasure to see his latest work in IMAX and I look forward to seeing it again tomorrow in regular 70mm!"
338,★★★★★,"The shot of the soldier just walking into the ocean, is the best."
339,★★★★,no one gets the unintentional homoerotic tension like christopher nolan
340,★★★★½,Watched on my projector at home and I really got to pay more attention to the grain of the film stock used and the changes from 35mm to 70mm IMAX
341,★★★½,me @ me: you actually thought you'd enjoy a war movie JUST because chris nolan directed it.... you played yourself...
342,★★★★★,"This was INCREDIBLE in 4K, holy crap."
343,★★★★★,"spitfire planes, every year we go to weymouth on holiday and we have seen the spitfire's so many times fly by !! also not to flex but we saw this movie being filmed in weymouth, we were like paparazzi near the weymouth harbour taking videos of the prop boats and all the set crew :)"
